SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.13288364378896958, 'topK': 174, 'alpha': 0.8113194010514864, 'positive_only': False, 'workers': 8} - results: PRECISION: 0.2875037, PRECISION_RECALL_MIN_DEN: 0.2883872, RECALL: 0.0463790, MAP: 0.1724128, MAP_MIN_DEN: 0.1728713, MRR: 0.5880869, NDCG: 0.3141978, F1: 0.0798731, HIT_RATE: 0.9110965, ARHR_ALL_HITS: 0.9900360, NOVELTY: 0.0051843, AVERAGE_POPULARITY: 0.7428479, DIVERSITY_MEAN_INTER_LIST: 0.6200938, DIVERSITY_HERFINDAHL: 0.9620048, COVERAGE_ITEM: 0.0063680, COVERAGE_ITEM_CORRECT: 0.0030456, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9106960, DIVERSITY_GINI: 0.0013876, SHANNON_ENTROPY: 4.9091990, RATIO_DIVERSITY_HERFINDAHL: 0.9623731, RATIO_DIVERSITY_GINI: 0.0055247, RATIO_SHANNON_ENTROPY: 0.3957190, RATIO_AVERAGE_POPULARITY: 3.6605938, RATIO_NOVELTY: 0.0242725, 
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.009399338335277865, 'topK': 426, 'alpha': 0.45589827291924323, 'workers': 10} - results: PRECISION: 0.3681565, PRECISION_RECALL_MIN_DEN: 0.3695762, RECALL: 0.0641241, MAP: 0.2270584, MAP_MIN_DEN: 0.2277995, MRR: 0.6361518, NDCG: 0.3873062, F1: 0.1092239, HIT_RATE: 0.9608734, ARHR_ALL_HITS: 1.1807189, NOVELTY: 0.0052583, AVERAGE_POPULARITY: 0.6803493, DIVERSITY_MEAN_INTER_LIST: 0.8038287, DIVERSITY_HERFINDAHL: 0.9803770, COVERAGE_ITEM: 0.0284623, COVERAGE_ITEM_CORRECT: 0.0165015, COVERAGE_USER: 0.9998535, COVERAGE_USER_CORRECT: 0.9607326, DIVERSITY_GINI: 0.0032162, SHANNON_ENTROPY: 6.2372896, RATIO_DIVERSITY_HERFINDAHL: 0.9807523, RATIO_DIVERSITY_GINI: 0.0128100, RATIO_SHANNON_ENTROPY: 0.5027816, RATIO_AVERAGE_POPULARITY: 3.3437807, RATIO_NOVELTY: 0.0246193, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'l1_ratio': 0.007566325732639767, 'topK': 74, 'alpha': 0.2852008364687986, 'workers': 8} - results: PRECISION: 0.3706840, PRECISION_RECALL_MIN_DEN: 0.3720587, RECALL: 0.0642566, MAP: 0.2268617, MAP_MIN_DEN: 0.2275038, MRR: 0.6316663, NDCG: 0.3878897, F1: 0.1095272, HIT_RATE: 0.9624661, ARHR_ALL_HITS: 1.1775104, NOVELTY: 0.0053963, AVERAGE_POPULARITY: 0.6090754, DIVERSITY_MEAN_INTER_LIST: 0.8649944, DIVERSITY_HERFINDAHL: 0.9864931, COVERAGE_ITEM: 0.0514979, COVERAGE_ITEM_CORRECT: 0.0336120, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9618315, DIVERSITY_GINI: 0.0059801, SHANNON_ENTROPY: 7.0452775, RATIO_DIVERSITY_HERFINDAHL: 0.9868711, RATIO_DIVERSITY_GINI: 0.0238135, RATIO_SHANNON_ENTROPY: 0.5679291, RATIO_AVERAGE_POPULARITY: 2.9940408, RATIO_NOVELTY: 0.0252663, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'l1_ratio': 0.0002782588405432707, 'topK': 1000, 'alpha': 1.0, 'workers': 8} - results: PRECISION: 0.3616817, PRECISION_RECALL_MIN_DEN: 0.3629734, RECALL: 0.0620083, MAP: 0.2200137, MAP_MIN_DEN: 0.2206206, MRR: 0.6240487, NDCG: 0.3790516, F1: 0.1058664, HIT_RATE: 0.9582142, ARHR_ALL_HITS: 1.1525010, NOVELTY: 0.0053084, AVERAGE_POPULARITY: 0.6535531, DIVERSITY_MEAN_INTER_LIST: 0.8302812, DIVERSITY_HERFINDAHL: 0.9830220, COVERAGE_ITEM: 0.0395924, COVERAGE_ITEM_CORRECT: 0.0247522, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9575824, DIVERSITY_GINI: 0.0040625, SHANNON_ENTROPY: 6.5376612, RATIO_DIVERSITY_HERFINDAHL: 0.9833987, RATIO_DIVERSITY_GINI: 0.0161774, RATIO_SHANNON_ENTROPY: 0.5270095, RATIO_AVERAGE_POPULARITY: 3.2126801, RATIO_NOVELTY: 0.0248544, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'l1_ratio': 0.0005874283004670984, 'topK': 783, 'alpha': 0.001, 'workers': 8} - results: PRECISION: 0.3787039, PRECISION_RECALL_MIN_DEN: 0.3798207, RECALL: 0.0651923, MAP: 0.2291317, MAP_MIN_DEN: 0.2295489, MRR: 0.6216470, NDCG: 0.3908059, F1: 0.1112358, HIT_RATE: 0.9618063, ARHR_ALL_HITS: 1.1738066, NOVELTY: 0.0057799, AVERAGE_POPULARITY: 0.4787907, DIVERSITY_MEAN_INTER_LIST: 0.9407318, DIVERSITY_HERFINDAHL: 0.9940663, COVERAGE_ITEM: 0.2617531, COVERAGE_ITEM_CORRECT: 0.0831718, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9611722, DIVERSITY_GINI: 0.0257052, SHANNON_ENTROPY: 8.7046422, RATIO_DIVERSITY_HERFINDAHL: 0.9944472, RATIO_DIVERSITY_GINI: 0.1023610, RATIO_SHANNON_ENTROPY: 0.7016927, RATIO_AVERAGE_POPULARITY: 2.3535981, RATIO_NOVELTY: 0.0270622, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'l1_ratio': 0.0007021284020771174, 'topK': 403, 'alpha': 1.0, 'workers': 8} - results: PRECISION: 0.3603915, PRECISION_RECALL_MIN_DEN: 0.3616840, RECALL: 0.0618168, MAP: 0.2193149, MAP_MIN_DEN: 0.2199210, MRR: 0.6238505, NDCG: 0.3781033, F1: 0.1055320, HIT_RATE: 0.9582142, ARHR_ALL_HITS: 1.1506028, NOVELTY: 0.0053047, AVERAGE_POPULARITY: 0.6551935, DIVERSITY_MEAN_INTER_LIST: 0.8284057, DIVERSITY_HERFINDAHL: 0.9828345, COVERAGE_ITEM: 0.0390941, COVERAGE_ITEM_CORRECT: 0.0239770, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9575824, DIVERSITY_GINI: 0.0039731, SHANNON_ENTROPY: 6.5103479, RATIO_DIVERSITY_HERFINDAHL: 0.9832111, RATIO_DIVERSITY_GINI: 0.0158214, RATIO_SHANNON_ENTROPY: 0.5248078, RATIO_AVERAGE_POPULARITY: 3.2207440, RATIO_NOVELTY: 0.0248374, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'l1_ratio': 5.92164985369579e-05, 'topK': 1000, 'alpha': 0.001, 'workers': 8} - results: PRECISION: 0.3786233, PRECISION_RECALL_MIN_DEN: 0.3797283, RECALL: 0.0651482, MAP: 0.2292663, MAP_MIN_DEN: 0.2296956, MRR: 0.6222007, NDCG: 0.3909478, F1: 0.1111681, HIT_RATE: 0.9620996, ARHR_ALL_HITS: 1.1747369, NOVELTY: 0.0057788, AVERAGE_POPULARITY: 0.4789114, DIVERSITY_MEAN_INTER_LIST: 0.9406702, DIVERSITY_HERFINDAHL: 0.9940601, COVERAGE_ITEM: 0.2618085, COVERAGE_ITEM_CORRECT: 0.0834487, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9614652, DIVERSITY_GINI: 0.0256812, SHANNON_ENTROPY: 8.7029199, RATIO_DIVERSITY_HERFINDAHL: 0.9944410, RATIO_DIVERSITY_GINI: 0.1022653, RATIO_SHANNON_ENTROPY: 0.7015539, RATIO_AVERAGE_POPULARITY: 2.3541917, RATIO_NOVELTY: 0.0270573, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'l1_ratio': 2.852661063024066e-05, 'topK': 940, 'alpha': 1.0, 'workers': 8} - results: PRECISION: 0.3617770, PRECISION_RECALL_MIN_DEN: 0.3630687, RECALL: 0.0620207, MAP: 0.2201300, MAP_MIN_DEN: 0.2207378, MRR: 0.6241780, NDCG: 0.3791859, F1: 0.1058886, HIT_RATE: 0.9583608, ARHR_ALL_HITS: 1.1529798, NOVELTY: 0.0053081, AVERAGE_POPULARITY: 0.6536889, DIVERSITY_MEAN_INTER_LIST: 0.8301352, DIVERSITY_HERFINDAHL: 0.9830074, COVERAGE_ITEM: 0.0397032, COVERAGE_ITEM_CORRECT: 0.0246415, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9577289, DIVERSITY_GINI: 0.0040588, SHANNON_ENTROPY: 6.5363236, RATIO_DIVERSITY_HERFINDAHL: 0.9833841, RATIO_DIVERSITY_GINI: 0.0161627, RATIO_SHANNON_ENTROPY: 0.5269017, RATIO_AVERAGE_POPULARITY: 3.2133478, RATIO_NOVELTY: 0.0248532, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'l1_ratio': 0.0014372931825283554, 'topK': 399, 'alpha': 0.001, 'workers': 8} - results: PRECISION: 0.3786673, PRECISION_RECALL_MIN_DEN: 0.3797799, RECALL: 0.0651945, MAP: 0.2292691, MAP_MIN_DEN: 0.2297002, MRR: 0.6225882, NDCG: 0.3910020, F1: 0.1112374, HIT_RATE: 0.9627593, ARHR_ALL_HITS: 1.1749800, NOVELTY: 0.0057748, AVERAGE_POPULARITY: 0.4794211, DIVERSITY_MEAN_INTER_LIST: 0.9405219, DIVERSITY_HERFINDAHL: 0.9940453, COVERAGE_ITEM: 0.2573232, COVERAGE_ITEM_CORRECT: 0.0836148, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9621245, DIVERSITY_GINI: 0.0253284, SHANNON_ENTROPY: 8.6946905, RATIO_DIVERSITY_HERFINDAHL: 0.9944262, RATIO_DIVERSITY_GINI: 0.1008602, RATIO_SHANNON_ENTROPY: 0.7008905, RATIO_AVERAGE_POPULARITY: 2.3566970, RATIO_NOVELTY: 0.0270381, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'l1_ratio': 9.558258192510273e-05, 'topK': 943, 'alpha': 0.43018994922318077, 'workers': 8} - results: PRECISION: 0.3723774, PRECISION_RECALL_MIN_DEN: 0.3737982, RECALL: 0.0645124, MAP: 0.2278178, MAP_MIN_DEN: 0.2284697, MRR: 0.6308159, NDCG: 0.3890000, F1: 0.1099727, HIT_RATE: 0.9629793, ARHR_ALL_HITS: 1.1790356, NOVELTY: 0.0053709, AVERAGE_POPULARITY: 0.6204392, DIVERSITY_MEAN_INTER_LIST: 0.8634850, DIVERSITY_HERFINDAHL: 0.9863422, COVERAGE_ITEM: 0.0503350, COVERAGE_ITEM_CORRECT: 0.0326153, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9623443, DIVERSITY_GINI: 0.0055959, SHANNON_ENTROPY: 6.9677207, RATIO_DIVERSITY_HERFINDAHL: 0.9867201, RATIO_DIVERSITY_GINI: 0.0222836, RATIO_SHANNON_ENTROPY: 0.5616772, RATIO_AVERAGE_POPULARITY: 3.0499018, RATIO_NOVELTY: 0.0251472, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'l1_ratio': 0.0038721288090589993, 'topK': 1000, 'alpha': 0.001, 'workers': 8} - results: PRECISION: 0.3782934, PRECISION_RECALL_MIN_DEN: 0.3793909, RECALL: 0.0650030, MAP: 0.2289662, MAP_MIN_DEN: 0.2293567, MRR: 0.6216959, NDCG: 0.3905334, F1: 0.1109425, HIT_RATE: 0.9614398, ARHR_ALL_HITS: 1.1734825, NOVELTY: 0.0057784, AVERAGE_POPULARITY: 0.4789455, DIVERSITY_MEAN_INTER_LIST: 0.9406875, DIVERSITY_HERFINDAHL: 0.9940619, COVERAGE_ITEM: 0.2578770, COVERAGE_ITEM_CORRECT: 0.0831718, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9608059, DIVERSITY_GINI: 0.0255146, SHANNON_ENTROPY: 8.7009886, RATIO_DIVERSITY_HERFINDAHL: 0.9944428, RATIO_DIVERSITY_GINI: 0.1016018, RATIO_SHANNON_ENTROPY: 0.7013982, RATIO_AVERAGE_POPULARITY: 2.3543592, RATIO_NOVELTY: 0.0270552, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'l1_ratio': 0.0014497656958197525, 'topK': 10, 'alpha': 1.0, 'workers': 8} - results: PRECISION: 0.3293967, PRECISION_RECALL_MIN_DEN: 0.3304631, RECALL: 0.0560209, MAP: 0.1932713, MAP_MIN_DEN: 0.1937969, MRR: 0.5947274, NDCG: 0.3463925, F1: 0.0957564, HIT_RATE: 0.9469980, ARHR_ALL_HITS: 1.0569997, NOVELTY: 0.0054019, AVERAGE_POPULARITY: 0.5964151, DIVERSITY_MEAN_INTER_LIST: 0.8634594, DIVERSITY_HERFINDAHL: 0.9863396, COVERAGE_ITEM: 0.0433025, COVERAGE_ITEM_CORRECT: 0.0254167, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9463736, DIVERSITY_GINI: 0.0055319, SHANNON_ENTROPY: 6.9773972, RATIO_DIVERSITY_HERFINDAHL: 0.9867176, RATIO_DIVERSITY_GINI: 0.0220286, RATIO_SHANNON_ENTROPY: 0.5624572, RATIO_AVERAGE_POPULARITY: 2.9318061, RATIO_NOVELTY: 0.0252925, 
SearchBayesianSkopt: Search complete. Best config is 6: {'l1_ratio': 0.007460066779005259, 'topK': 373, 'alpha': 0.001542763050720341, 'workers': 8}
